role,name,team
student,CabbageTime,CS2113-F10-1
student,heyjinwei,CS2113-F10-1
student,jadenwjh,CS2113-F10-1
student,warmwhalefy,CS2113-F10-1
student,Song0180,CS2113-F10-2
student,lowwilliam,CS2113-F10-2
student,baggiiiie,CS2113-F10-2
student,PingruiLi,CS2113-F10-2
student,beaniestanley,CS2113-F10-3
student,lihaoyangML,CS2113-F10-3
student,cloudy3,CS2113-F10-3
student,justinaquak,CS2113-F10-3
student,joohwan58,CS2113-T10-1
student,SimJJ96,CS2113-T10-1
student,Leeyp,CS2113-T10-1
student,kwokyto,CS2113-T10-1
student,Vinci-Hu,CS2113-T10-1
student,tehtea,CS2113-T10-2
student,chenling1022,CS2113-T10-2
student,geezzzyyy,CS2113-T10-2
student,zhangyongzhe20,CS2113-T10-2
student,cswbibibi,CS2113-T10-2
student,violinyap,CS2113-T10-3
student,L-Irvin,CS2113-T10-3
student,Zufiqqar,CS2113-T10-3
student,boonjuey,CS2113-T10-3
student,Tyuanyuan,CS2113-T10-3
student,JoviYeung92,CS2113-T10-4
student,nagiteja,CS2113-T10-4
student,KevinNgWK,CS2113-T10-4
student,brynagoh,CS2113-T10-4
student,kangxinwang,CS2113-T10-4
student,JethroPhuah,CS2113-W10-1
student,ManikaHennedige,CS2113-W10-1
student,averliz,CS2113-W10-1
student,lamzf1998,CS2113-W10-1
student,e0699194,CS2113-W10-1
student,FarmZH98,CS2113-W10-2
student,jalvinchan,CS2113-W10-2
student,yanli1215,CS2113-W10-2
student,Chihui8199,CS2113-W10-2
student,jovanhuang,CS2113-W10-3
student,NgManSing,CS2113-W10-3
student,s-t-e-f,CS2113-W10-3
student,yyixue,CS2113-W10-3
student,seangoats,CS2113-W10-3
student,vaiish371,CS2113T-F08-1
student,zihan9485,CS2113T-F08-1
student,vvvvh123,CS2113T-F08-1
student,jianningzhuang,CS2113T-F08-1
student,bryanwhl,CS2113T-F08-1
student,AlexanderTanJunAn,CS2113T-F08-2
student,blank-bank,CS2113T-F08-2
student,NoorSarrah,CS2113T-F08-2
student,MingShun98,CS2113T-F08-2
student,Chiamjiaen,CS2113T-F08-2
student,huachen24,CS2113T-F08-3
student,jhjhajh,CS2113T-F08-3
student,EmilyTJX,CS2113T-F08-3
student,Krithigha24,CS2113T-F08-3
student,BlubberMonster,CS2113T-F08-4
student,hazelhedmine,CS2113T-F08-4
student,nivikcivik,CS2113T-F08-4
student,liping-eng,CS2113T-F08-4
student,JonathanKhooTY,CS2113T-T09-1
student,iamakilahamed,CS2113T-T09-1
student,hussain1998,CS2113T-T09-1
student,limwenfeng,CS2113T-T09-1
student,sarzorwyn,CS2113T-T09-1
student,wjchoi0712,CS2113T-T09-2
student,Rye98,CS2113T-T09-2
student,Rizavur,CS2113T-T09-2
student,SimBowen,CS2113T-T09-2
student,KimIdeas8,CS2113T-T09-2
student,fangxinjia0203,CS2113T-T09-3
student,soepaingzaw,CS2113T-T09-3
student,rageqqq,CS2113T-T09-3
student,douglaslewpc,CS2113T-T09-3
student,Cocokkkk,CS2113T-T09-4
student,951553394,CS2113T-T09-4
student,zikunz,CS2113T-T09-4
student,ongweisheng,CS2113T-T09-4
student,e00426142,CS2113T-T09-4
student,gerardtwk,CS2113T-W09-1
student,LeeHanYongAndy,CS2113T-W09-1
student,jonahtwl,CS2113T-W09-1
student,tzexern,CS2113T-W09-1
student,marklowsk,CS2113T-W09-1
student,kewenlok,CS2113T-W09-2
student,LJ-37,CS2113T-W09-2
student,oscarlai1998,CS2113T-W09-2
student,fupernova,CS2113T-W09-2
student,xseh,CS2113T-W09-2
student,ivanchongzhien,CS2113T-W09-3
student,H-horizon,CS2113T-W09-3
student,isaharon,CS2113T-W09-3
student,aliciatay-zls,CS2113T-W09-3
student,8kdesign,CS2113T-W09-3
student,brandonfoong,CS2113T-W09-4
student,hiongkaihan,CS2113T-W09-4
student,leowxx,CS2113T-W09-4
student,fsgmhoward,CS2113T-W09-4
student,Emkay16,CS2113T-W09-4
student,okkhoy,Tutors
